gb,gi,sp,dbj,no_uniprot,tr,gnl,gpp,ref,emb
GBIA01000031,698375397.0,,,,A0A098LWV3,TSA:GBIA01,,,
GBIA01000039,698375373.0,,,,A0A098LYB1,TSA:GBIA01,,,
GBIA01000041,698375367.0,,,,A0A098LWU4,TSA:GBIA01,,,
GBIB01000031,698375562.0,,,,A0A098LYI5,TSA:GBIB01,,,
GBIC01000038,698375238.0,,,,A0A098LY55,TSA:GBIC01,,,
GBIC01000039,698375235.0,,,,A0A098LY61,TSA:GBIC01,,,
GDAD01000062,837773432.0,,,yes,,TSA:GDAD01,,,
GDAD01000072,837773405.0,,,yes,,TSA:GDAD01,,,
GDAD01000079,837773386.0,,,yes,,TSA:GDAD01,,,
GDAD01000185,837773090.0,,,yes,,TSA:GDAD01,,,
GDAD01000187,837773084.0,,,yes,,TSA:GDAD01,,,
GDAD01001328,837769720.0,,,yes,,TSA:GDAD01,,,
GDBF01000009,1041578562.0,,,,U3FVH6,TSA:GDBF01,,,
GDBF01000020,1041578540.0,,,,A0A0F7Z039,TSA:GDBF01,,,
GDBH01000013,1041578849.0,,,,A0A194APH5,TSA:GDBH01,,,
GDBH01000030,1041578815.0,,,,A0A194ASE3,TSA:GDBH01,,,
GDBH01000031,1041578813.0,,,,A0A194ARJ0,TSA:GDBH01,,,
GDBH01000033,1041578809.0,,,,A0A194ARC5,TSA:GDBH01,,,
GDBH01000034,1041578807.0,,,,A0A194APG0,TSA:GDBH01,,,
GDBH01000045,1041578785.0,,,,A0A194APF0,TSA:GDBH01,,,
GDKU01029485,,,,yes,,TSA:GDKU01,,,
GEHL01006907,1034053871.0,,,,A0A182C5Y1,TSA:GEHL01,,,
GEHL01006908,1034053875.0,,,,A0A182C5S7,TSA:GEHL01,,,
GEXA01000001,,,,yes,,TSA:GEXA01,,,
GFHW01000002,1178170285.0,,,,A0A1W7RBC9,TSA:GFHW01,,,
GFTV01000051,,,,yes,,TSA:GFTV01,,,
GGIP01000025,,,,yes,,TSA:GGIP01,,,
GGMJ01000004,,,,yes,,TSA:GGMJ01,,,
GGMJ01000005,,,,yes,,TSA:GGMJ01,,,
GGQZ01007816,,,,yes,,TSA:GGQZ01,,,
GGUA01000001,,,,,A0A481MQM5,TSA:GGUA01,,,
GGUB01000001,,,,yes,,TSA:GGUB01,,,
GGUE01000001,,,,yes,,TSA:GGUE01,,,
GGUG01000004,,,,yes,,TSA:GGUG01,,,
GGUG01000005,,,,yes,,TSA:GGUG01,,,
GGUG01000006,,,,yes,,TSA:GGUG01,,,
GGUG01000007,,,,yes,,TSA:GGUG01,,,
GHOC01000043,,,,yes,,TSA:GHOC01,,,
GHOC01000120,,,,yes,,TSA:GHOC01,,,
GHOC01000150,,,,yes,,TSA:GHOC01,,,
GHOC01000196,,,,yes,,TSA:GHOC01,,,
GHOC01000373,,,,yes,,TSA:GHOC01,,,
GHOC01000507,,,,yes,,TSA:GHOC01,,,
GHOC01000706,,,,yes,,TSA:GHOC01,,,
GHOC01000728,,,,yes,,TSA:GHOC01,,,
GHOC01000786,,,,yes,,TSA:GHOC01,,,
GHOC01000868,,,,yes,,TSA:GHOC01,,,
GHOC01001195,,,,yes,,TSA:GHOC01,,,
GHOC01001197,,,,yes,,TSA:GHOC01,,,
GHOC01001435,,,,yes,,TSA:GHOC01,,,
GHOC01001452,,,,yes,,TSA:GHOC01,,,
GHOC01001478,,,,yes,,TSA:GHOC01,,,
GHOC01001620,,,,yes,,TSA:GHOC01,,,
GHOC01002299,,,,yes,,TSA:GHOC01,,,
GHOC01002308,,,,yes,,TSA:GHOC01,,,
GHOC01002474,,,,yes,,TSA:GHOC01,,,
GHOC01002482,,,,yes,,TSA:GHOC01,,,
GHPA01000569,,,,yes,,TSA:GHPA01,,,
GHPA01000962,,,,yes,,TSA:GHPA01,,,
GHPA01001858,,,,yes,,TSA:GHPA01,,,
GHPA01001931,,,,yes,,TSA:GHPA01,,,
GHPA01002461,,,,yes,,TSA:GHPA01,,,
GHPA01003912,,,,yes,,TSA:GHPA01,,,
GHPA01003914,,,,yes,,TSA:GHPA01,,,
GHPB01001397,,,,yes,,TSA:GHPB01,,,
GHPB01001432,,,,yes,,TSA:GHPB01,,,
GHPB01001482,,,,yes,,TSA:GHPB01,,,
GHPB01001485,,,,yes,,TSA:GHPB01,,,
GHPB01001718,,,,yes,,TSA:GHPB01,,,
GHPB01001989,,,,yes,,TSA:GHPB01,,,
GHPC01000122,,,,yes,,TSA:GHPC01,,,
GHPC01000299,,,,yes,,TSA:GHPC01,,,
GHPC01000454,,,,yes,,TSA:GHPC01,,,
GHPC01000557,,,,yes,,TSA:GHPC01,,,
GHPC01000716,,,,yes,,TSA:GHPC01,,,
GHPC01000776,,,,yes,,TSA:GHPC01,,,
GHPC01000912,,,,yes,,TSA:GHPC01,,,
GHPC01001205,,,,yes,,TSA:GHPC01,,,
GHPC01001280,,,,yes,,TSA:GHPC01,,,
GHPC01001404,,,,yes,,TSA:GHPC01,,,
GHPC01001434,,,,yes,,TSA:GHPC01,,,
GHPC01001446,,,,yes,,TSA:GHPC01,,,
GHPC01001450,,,,yes,,TSA:GHPC01,,,
GHPC01001497,,,,yes,,TSA:GHPC01,,,
GHPC01001569,,,,yes,,TSA:GHPC01,,,
GHPC01001754,,,,yes,,TSA:GHPC01,,,
GHPC01001797,,,,yes,,TSA:GHPC01,,,
GHPC01002119,,,,yes,,TSA:GHPC01,,,
GHPC01002163,,,,yes,,TSA:GHPC01,,,
GHPC01002196,,,,yes,,TSA:GHPC01,,,
GHPC01002655,,,,yes,,TSA:GHPC01,,,
GHPC01002751,,,,yes,,TSA:GHPC01,,,
GHPC01002805,,,,yes,,TSA:GHPC01,,,
GHPC01003084,,,,yes,,TSA:GHPC01,,,
GHPC01003265,,,,yes,,TSA:GHPC01,,,
GHPC01003542,,,,yes,,TSA:GHPC01,,,
GHPC01003548,,,,yes,,TSA:GHPC01,,,
GHRV01000814,,,,yes,,TSA:GHRV01,,,
GHRV01002244,,,,yes,,TSA:GHRV01,,,
GHRV01002826,,,,yes,,TSA:GHRV01,,,
GHUB01014925,,,,yes,,TSA:GHUB01,,,
GHUB01014927,,,,yes,,TSA:GHUB01,,,
GHUB01072089,,,,yes,,TSA:GHUB01,,,
GHUB01143089,,,,yes,,TSA:GHUB01,,,
GHUO01000001,,,,,A0A646QBR0,TSA:GHUO01,,,
GHUO01000002,,,,,A0A646QDR7,TSA:GHUO01,,,
GIJF01000206,,,,yes,,TSA:GIJF01,,,
GIJF01000694,,,,yes,,TSA:GIJF01,,,
GIJF01000822,,,,yes,,TSA:GIJF01,,,
GIJF01002765,,,,yes,,TSA:GIJF01,,,
GIJG01001078,,,,yes,,TSA:GIJG01,,,
GIJG01001188,,,,yes,,TSA:GIJG01,,,
GIJG01001191,,,,yes,,TSA:GIJG01,,,
GIJG01001632,,,,yes,,TSA:GIJG01,,,
GIJH01000740,,,,yes,,TSA:GIJH01,,,
GIJH01000756,,,,yes,,TSA:GIJH01,,,
GIJH01001204,,,,yes,,TSA:GIJH01,,,
GIJI01000015,,,,yes,,TSA:GIJI01,,,
GIJI01000526,,,,yes,,TSA:GIJI01,,,
GIJI01001024,,,,yes,,TSA:GIJI01,,,
GIJI01001285,,,,yes,,TSA:GIJI01,,,
GIJI01001525,,,,yes,,TSA:GIJI01,,,
GIJI01001548,,,,yes,,TSA:GIJI01,,,
GIJI01001829,,,,yes,,TSA:GIJI01,,,
GIJJ01000770,,,,yes,,TSA:GIJJ01,,,
GIJJ01001129,,,,yes,,TSA:GIJJ01,,,
GIJJ01001759,,,,yes,,TSA:GIJJ01,,,
GIJK01000105,,,,yes,,TSA:GIJK01,,,
GIJK01000671,,,,yes,,TSA:GIJK01,,,
GIJK01000704,,,,yes,,TSA:GIJK01,,,
GIJK01001248,,,,yes,,TSA:GIJK01,,,
GIJL01000963,,,,yes,,TSA:GIJL01,,,
GIJL01002105,,,,yes,,TSA:GIJL01,,,
GIJL01002357,,,,yes,,TSA:GIJL01,,,
GIJM01000709,,,,yes,,TSA:GIJM01,,,
GIJM01002726,,,,yes,,TSA:GIJM01,,,
GIJM01003137,,,,yes,,TSA:GIJM01,,,
GIJM01003176,,,,yes,,TSA:GIJM01,,,
GIJM01003193,,,,yes,,TSA:GIJM01,,,
GIJM01003258,,,,yes,,TSA:GIJM01,,,
GIJM01003390,,,,yes,,TSA:GIJM01,,,
GIJM01003678,,,,yes,,TSA:GIJM01,,,
GIJM01004065,,,,yes,,TSA:GIJM01,,,
GIJM01004310,,,,yes,,TSA:GIJM01,,,
GIJM01004954,,,,yes,,TSA:GIJM01,,,
GIJM01009467,,,,yes,,TSA:GIJM01,,,
GIJN01002005,,,,yes,,TSA:GIJN01,,,
GIJO01000037,,,,yes,,TSA:GIJO01,,,
GIJO01002154,,,,yes,,TSA:GIJO01,,,
GIJO01002203,,,,yes,,TSA:GIJO01,,,
GIJO01002391,,,,yes,,TSA:GIJO01,,,
GIJO01002432,,,,yes,,TSA:GIJO01,,,
GJFD01001950,,,,yes,,TSA:GJFD01,,,
GJFV01002407,,,,yes,,TSA:GJFV01,,,
GJFV01002408,,,,yes,,TSA:GJFV01,,,
GJFV01002409,,,,yes,,TSA:GJFV01,,,
GJFV01002410,,,,yes,,TSA:GJFV01,,,
GJFV01002418,,,,yes,,TSA:GJFV01,,,
GJFV01002419,,,,yes,,TSA:GJFV01,,,
GJFV01002420,,,,yes,,TSA:GJFV01,,,
GJFV01002421,,,,yes,,TSA:GJFV01,,,
GJFV01002438,,,,yes,,TSA:GJFV01,,,
GU190791,294961039.0,,,,D5J9P0,,,,
GU190793,294961043.0,,,,D5J9P2,,,,
GU190794,294961045.0,,,,D5J9P3,,,,
GU190795,294961047.0,,,,D5J9P4,,,,
GU190797,294961051.0,,,,D5J9P6,,,,
GU190802,294961061.0,,,,D5J9Q1,,,,
GU190804,294961065.0,,,,D5J9Q3,,,,
HM446247,334854585.0,,,,F8QZ63,,,,
IACI01006908,1287284429.0,,IACI01006908,yes,,,,,
IACI01031826,1287246475.0,,IACI01031826,yes,,,,,
IACI01040496,1287230081.0,,IACI01040496,yes,,,,,
IACI01044503,1287222447.0,,IACI01044503,yes,,,,,
IACI01044558,1287222391.0,,IACI01044558,yes,,,,,
IACI01044597,1287222352.0,,IACI01044597,yes,,,,,
IACI01044606,1287222343.0,,IACI01044606,yes,,,,,
IACI01069956,1287181144.0,,IACI01069956,yes,,,,,
IACI01080067,1287159166.0,,IACI01080067,yes,,,,,
IACI01104478,1287121630.0,,IACI01104478,yes,,,,,
IACI01115070,1287104403.0,,IACI01115070,yes,,,,,
IACJ01025613,1291869442.0,,IACJ01025613,,A0A2D4ET78,,,,
IACJ01038600,1291855721.0,,IACJ01038600,yes,,,,,
IACJ01038601,1291855720.0,,IACJ01038601,yes,,,,,
IACJ01051156,1291842337.0,,IACJ01051156,yes,,,,,
IACJ01060045,1291822417.0,,IACJ01060045,yes,,,,,
IACJ01060046,1291822415.0,,IACJ01060046,yes,,,,,
IACJ01062266,1291817759.0,,IACJ01062266,yes,,,,,
IACJ01062270,1291817752.0,,IACJ01062270,yes,,,,,
IACJ01062272,1291817748.0,,IACJ01062272,yes,,,,,
IACJ01062273,1291817746.0,,IACJ01062273,yes,,,,,
IACJ01062274,1291817744.0,,IACJ01062274,yes,,,,,
IACJ01078504,1291783781.0,,IACJ01078504,yes,,,,,
IACJ01079596,1291781418.0,,IACJ01079596,yes,,,,,
IACJ01079854,1291780861.0,,IACJ01079854,yes,,,,,
IACJ01115251,1291724495.0,,IACJ01115251,yes,,,,,
IACJ01122327,1291709120.0,,IACJ01122327,yes,,,,,
IACJ01122328,1291709118.0,,IACJ01122328,yes,,,,,
IACJ01122330,1291709114.0,,IACJ01122330,yes,,,,,
IACJ01130835,1291691733.0,,IACJ01130835,yes,,,,,
IACJ01130836,1291691731.0,,IACJ01130836,yes,,,,,
IACJ01130841,1291691721.0,,IACJ01130841,yes,,,,,
IACJ01133145,1291686897.0,,IACJ01133145,yes,,,,,
IACJ01138867,1291674694.0,,IACJ01138867,yes,,,,,
IACJ01147547,1291656462.0,,IACJ01147547,yes,,,,,
IACJ01155703,1291639376.0,,IACJ01155703,yes,,,,,
IACJ01157475,1291635516.0,,IACJ01157475,yes,,,,,
IACK01013110,1301537976.0,,IACK01013110,yes,,,,,
IACK01022837,1301517699.0,,IACK01022837,yes,,,,,
IACK01022838,1301517697.0,,IACK01022838,yes,,,,,
IACK01034484,1301493629.0,,IACK01034484,yes,,,,,
IACK01034485,1301493627.0,,IACK01034485,yes,,,,,
IACK01096229,1301365431.0,,IACK01096229,yes,,,,,
IACK01096260,1301365400.0,,IACK01096260,yes,,,,,
IACK01096271,1301365389.0,,IACK01096271,yes,,,,,
IACK01096289,1301365371.0,,IACK01096289,yes,,,,,
IACK01096291,1301365369.0,,IACK01096291,yes,,,,,
IACK01096292,1301365368.0,,IACK01096292,yes,,,,,
IACK01096298,1301365362.0,,IACK01096298,yes,,,,,
IACK01096299,1301365361.0,,IACK01096299,yes,,,,,
IACK01116619,1301333930.0,,IACK01116619,yes,,,,,
IACK01122846,1301320021.0,,IACK01122846,yes,,,,,
IACK01123615,1301318447.0,,IACK01123615,yes,,,,,
IACK01125772,1301313970.0,,IACK01125772,yes,,,,,
IACK01129042,1301307785.0,,IACK01129042,yes,,,,,
