identifier,major_group,taxon_id,species,uniprot_id,InterPro_id
InterPro|IPR035076_A0A091GFH0|Cuculus_canorus,UPAR/Ly6 domain-containing protein,55661,Cuculus canorus,A0A091GFH0,IPR035076
InterPro|IPR035076_A0A091GWY9|Buceros_rhinoceros_silvestris,UPAR/Ly6 domain-containing protein,175836,Buceros rhinoceros silvestris,A0A091GWY9,IPR035076
InterPro|IPR035076_A0A091GZ52|Buceros_rhinoceros_silvestris,UPAR/Ly6 domain-containing protein,175836,Buceros rhinoceros silvestris,A0A091GZ52,IPR035076
InterPro|IPR035076_A0A091H195|Cuculus_canorus,UPAR/Ly6 domain-containing protein,55661,Cuculus canorus,A0A091H195,IPR035076
InterPro|IPR035076_A0A091H366|Buceros_rhinoceros_silvestris,Snake toxin/toxin-like domain-containing protein,175836,Buceros rhinoceros silvestris,A0A091H366,IPR035076
InterPro|IPR035076_A0A091I558|Calypte_anna,UPAR/Ly6 domain-containing protein,9244,Calypte anna,A0A091I558,IPR035076
InterPro|IPR035076_A0A091I657|Calypte_anna,UPAR/Ly6 domain-containing protein,9244,Calypte anna,A0A091I657,IPR035076
InterPro|IPR035076_A0A091I8A5|Calypte_anna,UPAR/Ly6 domain-containing protein,9244,Calypte anna,A0A091I8A5,IPR035076
InterPro|IPR035076_A0A091J8U2|Egretta_garzetta,UPAR/Ly6 domain-containing protein,188379,Egretta garzetta,A0A091J8U2,IPR035076
InterPro|IPR035076_A0A091JB11|Egretta_garzetta,UPAR/Ly6 domain-containing protein,188379,Egretta garzetta,A0A091JB11,IPR035076
InterPro|IPR035076_A0A091JZU8|Egretta_garzetta,Snake toxin/toxin-like domain-containing protein,188379,Egretta garzetta,A0A091JZU8,IPR035076
InterPro|IPR035076_A0A091K7R3|Colius_striatus,UPAR/Ly6 domain-containing protein,57412,Colius striatus,A0A091K7R3,IPR035076
InterPro|IPR035076_A0A091KDX8|Chlamydotis_macqueenii,UPAR/Ly6 domain-containing protein,187382,Chlamydotis macqueenii,A0A091KDX8,IPR035076
InterPro|IPR035076_A0A091KFV6|Chlamydotis_macqueenii,UPAR/Ly6 domain-containing protein,187382,Chlamydotis macqueenii,A0A091KFV6,IPR035076
InterPro|IPR035076_A0A091L5T8|Chlamydotis_macqueenii,Snake toxin/toxin-like domain-containing protein,187382,Chlamydotis macqueenii,A0A091L5T8,IPR035076
InterPro|IPR035076_A0A091LID6|Cathartes_aura,UPAR/Ly6 domain-containing protein,43455,Cathartes aura,A0A091LID6,IPR035076
InterPro|IPR035076_A0A091M250|Cariama_cristata,UPAR/Ly6 domain-containing protein,54380,Cariama cristata,A0A091M250,IPR035076
InterPro|IPR035076_A0A091M4D5|Cariama_cristata,UPAR/Ly6 domain-containing protein,54380,Cariama cristata,A0A091M4D5,IPR035076
InterPro|IPR035076_A0A091NEG9|Acanthisitta_chloris,UPAR/Ly6 domain-containing protein,57068,Acanthisitta chloris,A0A091NEG9,IPR035076
InterPro|IPR035076_A0A091NFX1|Acanthisitta_chloris,UPAR/Ly6 domain-containing protein,57068,Acanthisitta chloris,A0A091NFX1,IPR035076
InterPro|IPR035076_A0A091NXF3|Haliaeetus_albicilla,UPAR/Ly6 domain-containing protein,8969,Haliaeetus albicilla,A0A091NXF3,IPR035076
InterPro|IPR035076_A0A091NZX3|Haliaeetus_albicilla,UPAR/Ly6 domain-containing protein,8969,Haliaeetus albicilla,A0A091NZX3,IPR035076
InterPro|IPR035076_A0A091P2W5|Haliaeetus_albicilla,UPAR/Ly6 domain-containing protein,8969,Haliaeetus albicilla,A0A091P2W5,IPR035076
InterPro|IPR035076_A0A091PDK3|Haliaeetus_albicilla,Snake toxin/toxin-like domain-containing protein,8969,Haliaeetus albicilla,A0A091PDK3,IPR035076
InterPro|IPR035076_A0A091PG78|Leptosomus_discolor,UPAR/Ly6 domain-containing protein,188344,Leptosomus discolor,A0A091PG78,IPR035076
InterPro|IPR035076_A0A091PH16|Leptosomus_discolor,UPAR/Ly6 domain-containing protein,188344,Leptosomus discolor,A0A091PH16,IPR035076
InterPro|IPR035076_A0A091QAN4|Leptosomus_discolor,UPAR/Ly6 domain-containing protein,188344,Leptosomus discolor,A0A091QAN4,IPR035076
InterPro|IPR035076_A0A091RF36|Mesitornis_unicolor,UPAR/Ly6 domain-containing protein,54374,Mesitornis unicolor,A0A091RF36,IPR035076
InterPro|IPR035076_A0A091RG39|Mesitornis_unicolor,UPAR/Ly6 domain-containing protein,54374,Mesitornis unicolor,A0A091RG39,IPR035076
InterPro|IPR035076_A0A091RG59|Mesitornis_unicolor,Snake toxin/toxin-like domain-containing protein,54374,Mesitornis unicolor,A0A091RG59,IPR035076
InterPro|IPR035076_A0A091RGT8|Mesitornis_unicolor,UPAR/Ly6 domain-containing protein,54374,Mesitornis unicolor,A0A091RGT8,IPR035076
InterPro|IPR035076_A0A091RNS0|Nestor_notabilis,UPAR/Ly6 domain-containing protein,176057,Nestor notabilis,A0A091RNS0,IPR035076
InterPro|IPR035076_A0A091RQD5|Nestor_notabilis,UPAR/Ly6 domain-containing protein,176057,Nestor notabilis,A0A091RQD5,IPR035076
InterPro|IPR035076_A0A091SN42|Pelecanus_crispus,UPAR/Ly6 domain-containing protein,36300,Pelecanus crispus,A0A091SN42,IPR035076
InterPro|IPR035076_A0A091SUW0|Nestor_notabilis,UPAR/Ly6 domain-containing protein,176057,Nestor notabilis,A0A091SUW0,IPR035076
InterPro|IPR035076_A0A091TQW1|Phaethon_lepturus,UPAR/Ly6 domain-containing protein,97097,Phaethon lepturus,A0A091TQW1,IPR035076
InterPro|IPR035076_A0A091TS36|Phaethon_lepturus,UPAR/Ly6 domain-containing protein,97097,Phaethon lepturus,A0A091TS36,IPR035076
InterPro|IPR035076_A0A091UHU1|Phoenicopterus_ruber_ruber,UPAR/Ly6 domain-containing protein,9218,Phoenicopterus ruber ruber,A0A091UHU1,IPR035076
InterPro|IPR035076_A0A091USG9|Phaethon_lepturus,Snake toxin/toxin-like domain-containing protein,97097,Phaethon lepturus,A0A091USG9,IPR035076
InterPro|IPR035076_A0A091VE64|Phoenicopterus_ruber_ruber,Snake toxin/toxin-like domain-containing protein,9218,Phoenicopterus ruber ruber,A0A091VE64,IPR035076
InterPro|IPR035076_A0A091VLC9|Phoenicopterus_ruber_ruber,UPAR/Ly6 domain-containing protein,9218,Phoenicopterus ruber ruber,A0A091VLC9,IPR035076
InterPro|IPR035076_A0A091VWN8|Nipponia_nippon,UPAR/Ly6 domain-containing protein,128390,Nipponia nippon,A0A091VWN8,IPR035076
InterPro|IPR035076_A0A091VXN5|Nipponia_nippon,UPAR/Ly6 domain-containing protein,128390,Nipponia nippon,A0A091VXN5,IPR035076
InterPro|IPR035076_A0A091W9I3|Opisthocomus_hoazin,UPAR/Ly6 domain-containing protein,30419,Opisthocomus hoazin,A0A091W9I3,IPR035076
InterPro|IPR035076_A0A091WAQ0|Opisthocomus_hoazin,Snake toxin/toxin-like domain-containing protein,30419,Opisthocomus hoazin,A0A091WAQ0,IPR035076
InterPro|IPR035076_A0A091WBJ1|Opisthocomus_hoazin,UPAR/Ly6 domain-containing protein,30419,Opisthocomus hoazin,A0A091WBJ1,IPR035076
InterPro|IPR035076_A0A091X1Y7|Nipponia_nippon,Snake toxin/toxin-like domain-containing protein,128390,Nipponia nippon,A0A091X1Y7,IPR035076
InterPro|IPR035076_A0A091XFX5|Opisthocomus_hoazin,UPAR/Ly6 domain-containing protein,30419,Opisthocomus hoazin,A0A091XFX5,IPR035076
InterPro|IPR035076_A0A093BAY1|Chaetura_pelagica,UPAR/Ly6 domain-containing protein,8897,Chaetura pelagica,A0A093BAY1,IPR035076
InterPro|IPR035076_A0A093BLY9|Chaetura_pelagica,UPAR/Ly6 domain-containing protein,8897,Chaetura pelagica,A0A093BLY9,IPR035076
InterPro|IPR035076_A0A093BR63|Tauraco_erythrolophus,UPAR/Ly6 domain-containing protein,121530,Tauraco erythrolophus,A0A093BR63,IPR035076
InterPro|IPR035076_A0A093BXG6|Tauraco_erythrolophus,UPAR/Ly6 domain-containing protein,121530,Tauraco erythrolophus,A0A093BXG6,IPR035076
InterPro|IPR035076_A0A093C9V8|Pterocles_gutturalis,UPAR/Ly6 domain-containing protein,240206,Pterocles gutturalis,A0A093C9V8,IPR035076
InterPro|IPR035076_A0A093DFU4|Chaetura_pelagica,UPAR/Ly6 domain-containing protein,8897,Chaetura pelagica,A0A093DFU4,IPR035076
InterPro|IPR035076_A0A093EE16|Pterocles_gutturalis,UPAR/Ly6 domain-containing protein,240206,Pterocles gutturalis,A0A093EE16,IPR035076
InterPro|IPR035076_A0A093ELP2|Tyto_alba,UPAR/Ly6 domain-containing protein,56313,Tyto alba,A0A093ELP2,IPR035076
InterPro|IPR035076_A0A093ESL4|Tyto_alba,UPAR/Ly6 domain-containing protein,56313,Tyto alba,A0A093ESL4,IPR035076
InterPro|IPR035076_A0A093ET33|Gavia_stellata,UPAR/Ly6 domain-containing protein,37040,Gavia stellata,A0A093ET33,IPR035076
InterPro|IPR035076_A0A093F2K4|Gavia_stellata,UPAR/Ly6 domain-containing protein,37040,Gavia stellata,A0A093F2K4,IPR035076
InterPro|IPR035076_A0A093F884|Gavia_stellata,Snake toxin/toxin-like domain-containing protein,37040,Gavia stellata,A0A093F884,IPR035076
InterPro|IPR035076_A0A093GCP2|Dryobates_pubescens,UPAR/Ly6 domain-containing protein,118200,Dryobates pubescens,A0A093GCP2,IPR035076
InterPro|IPR035076_A0A093GJ04|Dryobates_pubescens,Snake toxin/toxin-like domain-containing protein,118200,Dryobates pubescens,A0A093GJ04,IPR035076
InterPro|IPR035076_A0A093GJI7|Dryobates_pubescens,UPAR/Ly6 domain-containing protein,118200,Dryobates pubescens,A0A093GJI7,IPR035076
InterPro|IPR035076_A0A093I0H6|Struthio_camelus_australis,UPAR/Ly6 domain-containing protein,441894,Struthio camelus australis,A0A093I0H6,IPR035076
InterPro|IPR035076_A0A093I686|Eurypyga_helias,UPAR/Ly6 domain-containing protein,54383,Eurypyga helias,A0A093I686,IPR035076
InterPro|IPR035076_A0A093I9F7|Struthio_camelus_australis,UPAR/Ly6 domain-containing protein,441894,Struthio camelus australis,A0A093I9F7,IPR035076
InterPro|IPR035076_A0A093IHE7|Eurypyga_helias,UPAR/Ly6 domain-containing protein,54383,Eurypyga helias,A0A093IHE7,IPR035076
InterPro|IPR035076_A0A093IPF0|Fulmarus_glacialis,Snake toxin/toxin-like domain-containing protein,30455,Fulmarus glacialis,A0A093IPF0,IPR035076
InterPro|IPR035076_A0A093ITP2|Eurypyga_helias,UPAR/Ly6 domain-containing protein,54383,Eurypyga helias,A0A093ITP2,IPR035076
InterPro|IPR035076_A0A093KE84|Struthio_camelus_australis,UPAR/Ly6 domain-containing protein,441894,Struthio camelus australis,A0A093KE84,IPR035076
InterPro|IPR035076_A0A093P2S5|Pygoscelis_adeliae,UPAR/Ly6 domain-containing protein,9238,Pygoscelis adeliae,A0A093P2S5,IPR035076
InterPro|IPR035076_A0A093P8Z5|Pygoscelis_adeliae,UPAR/Ly6 domain-containing protein,9238,Pygoscelis adeliae,A0A093P8Z5,IPR035076
InterPro|IPR035076_A0A093QJ87|Manacus_vitellinus,Snake toxin/toxin-like domain-containing protein,328815,Manacus vitellinus,A0A093QJ87,IPR035076
InterPro|IPR035076_A0A093QK95|Manacus_vitellinus,UPAR/Ly6 domain-containing protein,328815,Manacus vitellinus,A0A093QK95,IPR035076
InterPro|IPR035076_A0A093QRS9|Phalacrocorax_carbo,Snake toxin/toxin-like domain-containing protein,9209,Phalacrocorax carbo,A0A093QRS9,IPR035076
InterPro|IPR035076_A0A093QYH9|Manacus_vitellinus,UPAR/Ly6 domain-containing protein,328815,Manacus vitellinus,A0A093QYH9,IPR035076
InterPro|IPR035076_A0A093RIH0|Pygoscelis_adeliae,UPAR/Ly6 domain-containing protein,9238,Pygoscelis adeliae,A0A093RIH0,IPR035076
InterPro|IPR035076_A0A093T2Q1|Manacus_vitellinus,UPAR/Ly6 domain-containing protein,328815,Manacus vitellinus,A0A093T2Q1,IPR035076
InterPro|IPR035076_A0A094KXV1|Antrostomus_carolinensis,Snake toxin/toxin-like domain-containing protein,279965,Antrostomus carolinensis,A0A094KXV1,IPR035076
InterPro|IPR035076_A0A094L5C5|Podiceps_cristatus,Snake toxin/toxin-like domain-containing protein,345573,Podiceps cristatus,A0A094L5C5,IPR035076
InterPro|IPR035076_A0A094LDA7|Antrostomus_carolinensis,UPAR/Ly6 domain-containing protein,279965,Antrostomus carolinensis,A0A094LDA7,IPR035076
InterPro|IPR035076_A0A094MCM1|Antrostomus_carolinensis,UPAR/Ly6 domain-containing protein,279965,Antrostomus carolinensis,A0A094MCM1,IPR035076
InterPro|IPR035076_A0A096MJ36|Rattus_norvegicus,UPAR/Ly6 domain-containing protein,10116,Rattus norvegicus,A0A096MJ36,IPR035076
InterPro|IPR035076_A0A096NGP0|Papio_anubis,UPAR/Ly6 domain-containing protein,9555,Papio anubis,A0A096NGP0,IPR035076
InterPro|IPR035076_A0A098LWV2|Opheodrys_aestivus,Snake toxin/toxin-like domain-containing protein,186591,Opheodrys aestivus,A0A098LWV2,IPR035076
InterPro|IPR035076_A0A098LWZ2|Pantherophis_guttatus,Snake toxin/toxin-like domain-containing protein,94885,Pantherophis guttatus,A0A098LWZ2,IPR035076
InterPro|IPR035076_A0A098LWZ6|Pantherophis_guttatus,Snake toxin/toxin-like domain-containing protein,94885,Pantherophis guttatus,A0A098LWZ6,IPR035076
InterPro|IPR035076_A0A098LX08|Pantherophis_guttatus,UPAR/Ly6 domain-containing protein,94885,Pantherophis guttatus,A0A098LX08,IPR035076
InterPro|IPR035076_A0A098LY58|Eublepharis_macularius,UPAR/Ly6 domain-containing protein,481883,Eublepharis macularius,A0A098LY58,IPR035076
InterPro|IPR035076_A0A098LYD0|Opheodrys_aestivus,Snake toxin/toxin-like domain-containing protein,186591,Opheodrys aestivus,A0A098LYD0,IPR035076
InterPro|IPR035076_A0A099YV38|Tinamus_guttatus,UPAR/Ly6 domain-containing protein,94827,Tinamus guttatus,A0A099YV38,IPR035076
InterPro|IPR035076_A0A099YZV6|Tinamus_guttatus,UPAR/Ly6 domain-containing protein,94827,Tinamus guttatus,A0A099YZV6,IPR035076
InterPro|IPR035076_A0A0A0AAD1|Charadrius_vociferus,UPAR/Ly6 domain-containing protein,50402,Charadrius vociferus,A0A0A0AAD1,IPR035076
InterPro|IPR035076_A0A0A0AAV4|Charadrius_vociferus,UPAR/Ly6 domain-containing protein,50402,Charadrius vociferus,A0A0A0AAV4,IPR035076
InterPro|IPR035076_A0A0A0ADE2|Charadrius_vociferus,UPAR/Ly6 domain-containing protein,50402,Charadrius vociferus,A0A0A0ADE2,IPR035076
InterPro|IPR035076_A0A0A1WCZ0|Echis_coloratus,Snake toxin/toxin-like domain-containing protein,64175,Echis coloratus,A0A0A1WCZ0,IPR035076
InterPro|IPR035076_A0A0B2VQR9|Toxocara_canis,Snake toxin/toxin-like domain-containing protein,6265,Toxocara canis,A0A0B2VQR9,IPR035076
InterPro|IPR035076_A0A0D6L569|Ancylostoma_ceylanicum,Snake toxin/toxin-like domain-containing protein,53326,Ancylostoma ceylanicum,A0A0D6L569,IPR035076
InterPro|IPR035076_A0A0D8XP23|Dictyocaulus_viviparus,Snake toxin/toxin-like domain-containing protein,29172,Dictyocaulus viviparus,A0A0D8XP23,IPR035076
InterPro|IPR035076_A0A0D9RA23|Chlorocebus_sabaeus,UPAR/Ly6 domain-containing protein,60711,Chlorocebus sabaeus,A0A0D9RA23,IPR035076
InterPro|IPR035076_A0A0H4BKJ0|Micrurus_diastema,Snake toxin/toxin-like domain-containing protein,39023,Micrurus diastema,A0A0H4BKJ0,IPR035076
InterPro|IPR035076_A0A0H4IVQ2|Micrurus_tener,Snake toxin/toxin-like domain-containing protein,1114301,Micrurus tener,A0A0H4IVQ2,IPR035076
InterPro|IPR035076_A0A0H4J516|Micrurus_browni,Snake toxin/toxin-like domain-containing protein,1675716,Micrurus browni,A0A0H4J516,IPR035076
InterPro|IPR035076_A0A0K0CVC8|Angiostrongylus_cantonensis,Snake toxin/toxin-like domain-containing protein,6313,Angiostrongylus cantonensis,A0A0K0CVC8,IPR035076
InterPro|IPR035076_A0A0M3JXZ4|Anisakis_simplex,Snake toxin/toxin-like domain-containing protein,6269,Anisakis simplex,A0A0M3JXZ4,IPR035076
InterPro|IPR035076_A0A0N4T0S1|Brugia_pahangi,Snake toxin/toxin-like domain-containing protein,6280,Brugia pahangi,A0A0N4T0S1,IPR035076
InterPro|IPR035076_A0A0N4U7V4|Dracunculus_medinensis,Snake toxin/toxin-like domain-containing protein,318479,Dracunculus medinensis,A0A0N4U7V4,IPR035076
InterPro|IPR035076_A0A0N4VQ31|Enterobius_vermicularis,Snake toxin/toxin-like domain-containing protein,51028,Enterobius vermicularis,A0A0N4VQ31,IPR035076
InterPro|IPR035076_A0A0N5AXK7|Syphacia_muris,Snake toxin/toxin-like domain-containing protein,451379,Syphacia muris,A0A0N5AXK7,IPR035076
InterPro|IPR035076_A0A0N5DAC9|Thelazia_callipaeda,Snake toxin/toxin-like domain-containing protein,103827,Thelazia callipaeda,A0A0N5DAC9,IPR035076
InterPro|IPR035076_A0A0P6J189|Heterocephalus_glaber,UPAR/Ly6 domain-containing protein,10181,Heterocephalus glaber,A0A0P6J189,IPR035076
InterPro|IPR035076_A0A0P6JXP9|Heterocephalus_glaber,UPAR/Ly6 domain-containing protein,10181,Heterocephalus glaber,A0A0P6JXP9,IPR035076
InterPro|IPR035076_A0A0Q3MDE2|Amazona_aestiva,Snake toxin/toxin-like domain-containing protein,12930,Amazona aestiva,A0A0Q3MDE2,IPR035076
InterPro|IPR035076_A0A0Q3PIF1|Amazona_aestiva,UPAR/Ly6 domain-containing protein,12930,Amazona aestiva,A0A0Q3PIF1,IPR035076
InterPro|IPR035076_A0A0Q3R5I0|Amazona_aestiva,UPAR/Ly6 domain-containing protein,12930,Amazona aestiva,A0A0Q3R5I0,IPR035076
InterPro|IPR035076_A0A0Q3US67|Amazona_aestiva,UPAR/Ly6 domain-containing protein,12930,Amazona aestiva,A0A0Q3US67,IPR035076
InterPro|IPR035076_A0A151P8A2|Alligator_mississippiensis,UPAR/Ly6 domain-containing protein,8496,Alligator mississippiensis,A0A151P8A2,IPR035076
InterPro|IPR035076_A0A151P8D3|Alligator_mississippiensis,UPAR/Ly6 domain-containing protein,8496,Alligator mississippiensis,A0A151P8D3,IPR035076
InterPro|IPR035076_A0A151P8H2|Alligator_mississippiensis,UPAR/Ly6 domain-containing protein,8496,Alligator mississippiensis,A0A151P8H2,IPR035076
InterPro|IPR035076_A0A151P8P6|Alligator_mississippiensis,UPAR/Ly6 domain-containing protein,8496,Alligator mississippiensis,A0A151P8P6,IPR035076
InterPro|IPR035076_A0A151P955|Alligator_mississippiensis,Snake toxin/toxin-like domain-containing protein,8496,Alligator mississippiensis,A0A151P955,IPR035076
InterPro|IPR035076_A0A158PED4|Angiostrongylus_costaricensis,Snake toxin/toxin-like domain-containing protein,334426,Angiostrongylus costaricensis,A0A158PED4,IPR035076
InterPro|IPR035076_A0A182EH79|Onchocerca_ochengi,Snake toxin/toxin-like domain-containing protein,42157,Onchocerca ochengi,A0A182EH79,IPR035076
InterPro|IPR035076_A0A183G170|Heligmosomoides_polygyrus,Snake toxin/toxin-like domain-containing protein,6339,Heligmosomoides polygyrus,A0A183G170,IPR035076
InterPro|IPR035076_A0A193CHL2|Boiga_cynodon,Snake toxin/toxin-like domain-containing protein,39278,Boiga cynodon,A0A193CHL2,IPR035076
InterPro|IPR035076_A0A193CHL7|Boiga_irregularis,Snake toxin/toxin-like domain-containing protein,92519,Boiga irregularis,A0A193CHL7,IPR035076
InterPro|IPR035076_A0A194ARE1|Micrurus_tener,Snake toxin/toxin-like domain-containing protein,1114301,Micrurus tener,A0A194ARE1,IPR035076
InterPro|IPR035076_A0A194ASA3|Micrurus_tener,Snake toxin/toxin-like domain-containing protein,1114301,Micrurus tener,A0A194ASA3,IPR035076
InterPro|IPR035076_A0A1A6GDG2|Neotoma_lepida,UPAR/Ly6 domain-containing protein,56216,Neotoma lepida,A0A1A6GDG2,IPR035076
InterPro|IPR035076_A0A1A6GEI9|Neotoma_lepida,UPAR/Ly6 domain-containing protein,56216,Neotoma lepida,A0A1A6GEI9,IPR035076
InterPro|IPR035076_A0A1A6GES9|Neotoma_lepida,UPAR/Ly6 domain-containing protein,56216,Neotoma lepida,A0A1A6GES9,IPR035076
InterPro|IPR035076_A0A1D5PBH3|Gallus_gallus,Uncharacterized protein,9031,Gallus gallus,A0A1D5PBH3,IPR035076
InterPro|IPR035076_A0A1I7UHI7|Caenorhabditis_tropicalis,Snake toxin/toxin-like domain-containing protein,1561998,Caenorhabditis tropicalis,A0A1I7UHI7,IPR035076
InterPro|IPR035076_A0A1I7UXU8|Caenorhabditis_tropicalis,Snake toxin/toxin-like domain-containing protein,1561998,Caenorhabditis tropicalis,A0A1I7UXU8,IPR035076
InterPro|IPR035076_A0A1I7VZ37|Loa_loa,Snake toxin/toxin-like domain-containing protein,7209,Loa loa,A0A1I7VZ37,IPR035076
InterPro|IPR035076_A0A1I7XT67|Heterorhabditis_bacteriophora,Snake toxin/toxin-like domain-containing protein,37862,Heterorhabditis bacteriophora,A0A1I7XT67,IPR035076
InterPro|IPR035076_A0A1I8AG51|Steinernema_glaseri,Snake toxin/toxin-like domain-containing protein,37863,Steinernema glaseri,A0A1I8AG51,IPR035076
InterPro|IPR035076_A0A1I9G1L8|Brugia_malayi,Snake toxin/toxin-like domain-containing protein,6279,Brugia malayi,A0A1I9G1L8,IPR035076
InterPro|IPR035076_A0A1J0CQH1|Naja_naja,Snake toxin/toxin-like domain-containing protein,35670,Naja naja,A0A1J0CQH1,IPR035076
InterPro|IPR035076_A0A1L8G092|Xenopus_laevis,Snake toxin/toxin-like domain-containing protein,8355,Xenopus laevis,A0A1L8G092,IPR035076
InterPro|IPR035076_A0A1L8G093|Xenopus_laevis,UPAR/Ly6 domain-containing protein,8355,Xenopus laevis,A0A1L8G093,IPR035076
InterPro|IPR035076_A0A1L8G0B0|Xenopus_laevis,ly6/PLAUR domain-containing protein 2,8355,Xenopus laevis,A0A1L8G0B0,IPR035076
InterPro|IPR035076_A0A1L8G0B7|Xenopus_laevis,UPAR/Ly6 domain-containing protein,8355,Xenopus laevis,A0A1L8G0B7,IPR035076
InterPro|IPR035076_A0A1S3AHP4|Erinaceus_europaeus,Snake toxin/toxin-like domain-containing protein,9365,Erinaceus europaeus,A0A1S3AHP4,IPR035076
InterPro|IPR035076_A0A1S3AI47|Erinaceus_europaeus,UPAR/Ly6 domain-containing protein,9365,Erinaceus europaeus,A0A1S3AI47,IPR035076
InterPro|IPR035076_A0A1S3AIA8|Erinaceus_europaeus,Snake toxin/toxin-like domain-containing protein,9365,Erinaceus europaeus,A0A1S3AIA8,IPR035076
InterPro|IPR035076_A0A1S3FVK8|Dipodomys_ordii,UPAR/Ly6 domain-containing protein,10020,Dipodomys ordii,A0A1S3FVK8,IPR035076
InterPro|IPR035076_A0A1S3FVP1|Dipodomys_ordii,UPAR/Ly6 domain-containing protein,10020,Dipodomys ordii,A0A1S3FVP1,IPR035076
InterPro|IPR035076_A0A1S3FW38|Dipodomys_ordii,UPAR/Ly6 domain-containing protein,10020,Dipodomys ordii,A0A1S3FW38,IPR035076
InterPro|IPR035076_A0A1S3GUZ6|Dipodomys_ordii,UPAR/Ly6 domain-containing protein,10020,Dipodomys ordii,A0A1S3GUZ6,IPR035076
InterPro|IPR035076_A0A1S8WJI0|Opisthorchis_viverrini,Snake toxin/toxin-like domain-containing protein,6198,Opisthorchis viverrini,A0A1S8WJI0,IPR035076
InterPro|IPR035076_A0A1U7QU12|Mesocricetus_auratus,UPAR/Ly6 domain-containing protein,10036,Mesocricetus auratus,A0A1U7QU12,IPR035076
InterPro|IPR035076_A0A1U7R1G5|Mesocricetus_auratus,UPAR/Ly6 domain-containing protein,10036,Mesocricetus auratus,A0A1U7R1G5,IPR035076
InterPro|IPR035076_A0A1U7S4M8|Alligator_sinensis,UPAR/Ly6 domain-containing protein,38654,Alligator sinensis,A0A1U7S4M8,IPR035076
InterPro|IPR035076_A0A1U7S8L3|Alligator_sinensis,UPAR/Ly6 domain-containing protein,38654,Alligator sinensis,A0A1U7S8L3,IPR035076
InterPro|IPR035076_A0A1U7SFY4|Alligator_sinensis,UPAR/Ly6 domain-containing protein,38654,Alligator sinensis,A0A1U7SFY4,IPR035076
InterPro|IPR035076_A0A1U7SIJ4|Alligator_sinensis,Snake toxin/toxin-like domain-containing protein,38654,Alligator sinensis,A0A1U7SIJ4,IPR035076
InterPro|IPR035076_A0A1U7SIJ8|Alligator_sinensis,UPAR/Ly6 domain-containing protein,38654,Alligator sinensis,A0A1U7SIJ8,IPR035076
InterPro|IPR035076_A0A1U7TWY9|Carlito_syrichta,Snake toxin/toxin-like domain-containing protein,1868482,Carlito syrichta,A0A1U7TWY9,IPR035076
