Accession	Source Database	Name	Tax ID	Tax Name	Length	Entry Accession	Matches
A0A091VXN5	unreviewed	UPAR/Ly6 domain-containing protein	128390	Nipponia nippon	112	IPR035076	8..82
A0A091W9I3	unreviewed	UPAR/Ly6 domain-containing protein	30419	Opisthocomus hoazin	112	IPR035076	8..82
A0A091WAQ0	unreviewed	Snake toxin/toxin-like domain-containing protein	30419	Opisthocomus hoazin	108	IPR035076	22..102
A0A091WBJ1	unreviewed	UPAR/Ly6 domain-containing protein	30419	Opisthocomus hoazin	122	IPR035076	18..93
A0A091X1Y7	unreviewed	Snake toxin/toxin-like domain-containing protein	128390	Nipponia nippon	108	IPR035076	22..102
A0A091XFX5	unreviewed	UPAR/Ly6 domain-containing protein	30419	Opisthocomus hoazin	110	IPR035076	8..81
A0A093BAY1	unreviewed	UPAR/Ly6 domain-containing protein	8897	Chaetura pelagica	109	IPR035076	5..80
A0A093BLY9	unreviewed	UPAR/Ly6 domain-containing protein	8897	Chaetura pelagica	103	IPR035076	22..97
A0A093BR63	unreviewed	UPAR/Ly6 domain-containing protein	121530	Tauraco erythrolophus	109	IPR035076	6..80
A0A093BXG6	unreviewed	UPAR/Ly6 domain-containing protein	121530	Tauraco erythrolophus	112	IPR035076	8..82
A0A093C9V8	unreviewed	UPAR/Ly6 domain-containing protein	240206	Pterocles gutturalis	112	IPR035076	9..82
A0A093DFU4	unreviewed	UPAR/Ly6 domain-containing protein	8897	Chaetura pelagica	112	IPR035076	9..82
A0A093EE16	unreviewed	UPAR/Ly6 domain-containing protein	240206	Pterocles gutturalis	109	IPR035076	6..80
A0A093ELP2	unreviewed	UPAR/Ly6 domain-containing protein	56313	Tyto alba	109	IPR035076	5..80
A0A093ESL4	unreviewed	UPAR/Ly6 domain-containing protein	56313	Tyto alba	112	IPR035076	8..82
A0A093ET33	unreviewed	UPAR/Ly6 domain-containing protein	37040	Gavia stellata	109	IPR035076	5..80
A0A093F2K4	unreviewed	UPAR/Ly6 domain-containing protein	37040	Gavia stellata	112	IPR035076	8..82
A0A093F884	unreviewed	Snake toxin/toxin-like domain-containing protein	37040	Gavia stellata	108	IPR035076	22..102
A0A093GCP2	unreviewed	UPAR/Ly6 domain-containing protein	118200	Dryobates pubescens	110	IPR035076	6..80
A0A093GJ04	unreviewed	Snake toxin/toxin-like domain-containing protein	118200	Dryobates pubescens	90	IPR035076	4..84
A0A093GJI7	unreviewed	UPAR/Ly6 domain-containing protein	118200	Dryobates pubescens	109	IPR035076	6..80
A0A093I0H6	unreviewed	UPAR/Ly6 domain-containing protein	441894	Struthio camelus australis	109	IPR035076	5..80
A0A093I686	unreviewed	UPAR/Ly6 domain-containing protein	54383	Eurypyga helias	109	IPR035076	5..80
A0A093I9F7	unreviewed	UPAR/Ly6 domain-containing protein	441894	Struthio camelus australis	103	IPR035076	23..97
A0A093IHE7	unreviewed	UPAR/Ly6 domain-containing protein	54383	Eurypyga helias	103	IPR035076	22..97
A0A093IPF0	unreviewed	Snake toxin/toxin-like domain-containing protein	30455	Fulmarus glacialis	108	IPR035076	22..102
A0A093ITP2	unreviewed	UPAR/Ly6 domain-containing protein	54383	Eurypyga helias	112	IPR035076	8..82
A0A093KE84	unreviewed	UPAR/Ly6 domain-containing protein	441894	Struthio camelus australis	112	IPR035076	8..82
A0A093P2S5	unreviewed	UPAR/Ly6 domain-containing protein	9238	Pygoscelis adeliae	103	IPR035076	22..97
A0A093P8Z5	unreviewed	UPAR/Ly6 domain-containing protein	9238	Pygoscelis adeliae	112	IPR035076	8..82
A0A093QJ87	unreviewed	Snake toxin/toxin-like domain-containing protein	328815	Manacus vitellinus	91	IPR035076	5..85
A0A093QK95	unreviewed	UPAR/Ly6 domain-containing protein	328815	Manacus vitellinus	109	IPR035076	6..80
A0A093QRS9	unreviewed	Snake toxin/toxin-like domain-containing protein	9209	Phalacrocorax carbo	108	IPR035076	22..102
A0A093QYH9	unreviewed	UPAR/Ly6 domain-containing protein	328815	Manacus vitellinus	112	IPR035076	8..82
A0A093RIH0	unreviewed	UPAR/Ly6 domain-containing protein	9238	Pygoscelis adeliae	115	IPR035076	11..86
A0A093T2Q1	unreviewed	UPAR/Ly6 domain-containing protein	328815	Manacus vitellinus	86	IPR035076	6..79
A0A094KXV1	unreviewed	Snake toxin/toxin-like domain-containing protein	279965	Antrostomus carolinensis	91	IPR035076	5..85
A0A094L5C5	unreviewed	Snake toxin/toxin-like domain-containing protein	345573	Podiceps cristatus	108	IPR035076	22..102
A0A094LDA7	unreviewed	UPAR/Ly6 domain-containing protein	279965	Antrostomus carolinensis	112	IPR035076	8..82
A0A094MCM1	unreviewed	UPAR/Ly6 domain-containing protein	279965	Antrostomus carolinensis	107	IPR035076	5..79
A0A096MJ36	unreviewed	UPAR/Ly6 domain-containing protein	10116	Rattus norvegicus	115	IPR035076	16..84
A0A096NGP0	unreviewed	UPAR/Ly6 domain-containing protein	9555	Papio anubis	127	IPR035076	28..100
A0A098LWV2	unreviewed	Snake toxin/toxin-like domain-containing protein	186591	Opheodrys aestivus	91	IPR035076	21..90
A0A098LWZ2	unreviewed	Snake toxin/toxin-like domain-containing protein	94885	Pantherophis guttatus	91	IPR035076	21..90
A0A098LWZ6	unreviewed	Snake toxin/toxin-like domain-containing protein	94885	Pantherophis guttatus	91	IPR035076	21..90
A0A098LX08	unreviewed	UPAR/Ly6 domain-containing protein	94885	Pantherophis guttatus	127	IPR035076	22..98
A0A098LY58	unreviewed	UPAR/Ly6 domain-containing protein	481883	Eublepharis macularius	126	IPR035076	21..96
A0A098LY67	unreviewed	Snake toxin/toxin-like domain-containing protein	51751	Python regius	93	IPR035076	21..92
A0A098LYD0	unreviewed	Snake toxin/toxin-like domain-containing protein	186591	Opheodrys aestivus	91	IPR035076	21..90
A0A099YV38	unreviewed	UPAR/Ly6 domain-containing protein	94827	Tinamus guttatus	112	IPR035076	9..82
A0A099YZV6	unreviewed	UPAR/Ly6 domain-containing protein	94827	Tinamus guttatus	109	IPR035076	6..80
A0A0A0AAD1	unreviewed	UPAR/Ly6 domain-containing protein	50402	Charadrius vociferus	112	IPR035076	8..82
A0A0A0AAV4	unreviewed	UPAR/Ly6 domain-containing protein	50402	Charadrius vociferus	103	IPR035076	22..97
A0A0A0ADE2	unreviewed	UPAR/Ly6 domain-containing protein	50402	Charadrius vociferus	114	IPR035076	10..85
A0A0A1WCZ0	unreviewed	Snake toxin/toxin-like domain-containing protein	64175	Echis coloratus	93	IPR035076	21..92
A0A0B2VQR9	unreviewed	Snake toxin/toxin-like domain-containing protein	6265	Toxocara canis	165	IPR035076	66..126
A0A0D6L569	unreviewed	Snake toxin/toxin-like domain-containing protein	53326	Ancylostoma ceylanicum	118	IPR035076	10..81
A0A0D8XP23	unreviewed	Snake toxin/toxin-like domain-containing protein	29172	Dictyocaulus viviparus	155	IPR035076	58..116
A0A0D9RA23	unreviewed	UPAR/Ly6 domain-containing protein	60711	Chlorocebus sabaeus	127	IPR035076	28..100
A0A0H4BFQ4	unreviewed	Snake toxin/toxin-like domain-containing protein	39023	Micrurus diastema	86	IPR035076	28..83
A0A0H4BJD1	unreviewed	Snake toxin/toxin-like domain-containing protein	1240351	Micrurus laticollaris	87	IPR035076	24..84
A0A0H4BJD8	unreviewed	Snake toxin/toxin-like domain-containing protein	1675716	Micrurus browni	98	IPR035076	29..83
A0A0H4BKJ0	unreviewed	Snake toxin/toxin-like domain-containing protein	39023	Micrurus diastema	87	IPR035076	30..84
A0A0H4BLY9	unreviewed	Snake toxin/toxin-like domain-containing protein	1240351	Micrurus laticollaris	87	IPR035076	24..84
A0A0H4IVQ2	unreviewed	Snake toxin/toxin-like domain-containing protein	1114301	Micrurus tener	87	IPR035076	29..84
A0A0H4J516	unreviewed	Snake toxin/toxin-like domain-containing protein	1675716	Micrurus browni	87	IPR035076	30..84
A0A0K0CVC8	unreviewed	Snake toxin/toxin-like domain-containing protein	6313	Angiostrongylus cantonensis	151	IPR035076	54..112
A0A0M3JXZ4	unreviewed	Snake toxin/toxin-like domain-containing protein	6269	Anisakis simplex	165	IPR035076	64..126
A0A0N4T0S1	unreviewed	Snake toxin/toxin-like domain-containing protein	6280	Brugia pahangi	161	IPR035076	62..122
A0A0N4U7V4	unreviewed	Snake toxin/toxin-like domain-containing protein	318479	Dracunculus medinensis	158	IPR035076	35..96
A0A0N4VQ31	unreviewed	Snake toxin/toxin-like domain-containing protein	51028	Enterobius vermicularis	159	IPR035076	63..120
A0A0N5AXK7	unreviewed	Snake toxin/toxin-like domain-containing protein	451379	Syphacia muris	143	IPR035076	44..104
A0A0N5DAC9	unreviewed	Snake toxin/toxin-like domain-containing protein	103827	Thelazia callipaeda	154	IPR035076	53..115
A0A0P6J189	unreviewed	UPAR/Ly6 domain-containing protein	10181	Heterocephalus glaber	116	IPR035076	21..92
A0A0P6JXP9	unreviewed	UPAR/Ly6 domain-containing protein	10181	Heterocephalus glaber	222	IPR035076	113..190
A0A0Q3MDE2	unreviewed	Snake toxin/toxin-like domain-containing protein	12930	Amazona aestiva	127	IPR035076	25..98
A0A0Q3PIF1	unreviewed	UPAR/Ly6 domain-containing protein	12930	Amazona aestiva	225	IPR035076	86..173
A0A0Q3R5I0	unreviewed	UPAR/Ly6 domain-containing protein	12930	Amazona aestiva	127	IPR035076	22..97
A0A0Q3US67	unreviewed	UPAR/Ly6 domain-containing protein	12930	Amazona aestiva	126	IPR035076	22..96
A0A151P8A2	unreviewed	UPAR/Ly6 domain-containing protein	8496	Alligator mississippiensis	126	IPR035076	22..96
A0A151P8D3	unreviewed	UPAR/Ly6 domain-containing protein	8496	Alligator mississippiensis	116	IPR035076	12..86
A0A151P8H2	unreviewed	UPAR/Ly6 domain-containing protein	8496	Alligator mississippiensis	126	IPR035076	22..96
A0A151P8P6	unreviewed	UPAR/Ly6 domain-containing protein	8496	Alligator mississippiensis	128	IPR035076	22..98
A0A151P955	unreviewed	Snake toxin/toxin-like domain-containing protein	8496	Alligator mississippiensis	125	IPR035076	22..94
A0A158PED4	unreviewed	Snake toxin/toxin-like domain-containing protein	334426	Angiostrongylus costaricensis	139	IPR035076	42..100
A0A182EH79	unreviewed	Snake toxin/toxin-like domain-containing protein	42157	Onchocerca ochengi	124	IPR035076	23..85
A0A183G170	unreviewed	Snake toxin/toxin-like domain-containing protein	6339	Heligmosomoides polygyrus	212	IPR035076	89..130
A0A193CHK9	unreviewed	Snake toxin/toxin-like domain-containing protein	121355	Oxybelis fulgidus	108	IPR035076	44..106
A0A193CHL2	unreviewed	Snake toxin/toxin-like domain-containing protein	39278	Boiga cynodon	111	IPR035076	44..109
A0A193CHL7	unreviewed	Snake toxin/toxin-like domain-containing protein	92519	Boiga irregularis	111	IPR035076	44..109
A0A194APB1	unreviewed	Snake toxin/toxin-like domain-containing protein	1114301	Micrurus tener	87	IPR035076	29..84
A0A194APF0	unreviewed	Snake toxin/toxin-like domain-containing protein	1114301	Micrurus tener	86	IPR035076	35..85
A0A194ARB6	unreviewed	Snake toxin/toxin-like domain-containing protein	1114301	Micrurus tener	86	IPR035076	35..85
A0A194ARE1	unreviewed	Snake toxin/toxin-like domain-containing protein	1114301	Micrurus tener	87	IPR035076	30..84
A0A194ASA3	unreviewed	Snake toxin/toxin-like domain-containing protein	1114301	Micrurus tener	87	IPR035076	29..84
A0A194AT81	unreviewed	Snake toxin/toxin-like domain-containing protein	1114301	Micrurus tener	87	IPR035076	29..84
A0A1A6GDG2	unreviewed	UPAR/Ly6 domain-containing protein	56216	Neotoma lepida	123	IPR035076	20..96
A0A1A6GEI9	unreviewed	UPAR/Ly6 domain-containing protein	56216	Neotoma lepida	180	IPR035076	85..156
A0A1A6GES9	unreviewed	UPAR/Ly6 domain-containing protein	56216	Neotoma lepida	202	IPR035076	15..47
A0A1D5PBH3	unreviewed	Uncharacterized protein	9031	Gallus gallus	126	IPR035076	21..96
A0A1I7UHI7	unreviewed	Snake toxin/toxin-like domain-containing protein	1561998	Caenorhabditis tropicalis	87	IPR035076	25..66
A0A1I7UXU8	unreviewed	Snake toxin/toxin-like domain-containing protein	1561998	Caenorhabditis tropicalis	103	IPR035076	14..71
A0A1I7VZ37	unreviewed	Snake toxin/toxin-like domain-containing protein	7209	Loa loa	124	IPR035076	23..85
A0A1I7XT67	unreviewed	Snake toxin/toxin-like domain-containing protein	37862	Heterorhabditis bacteriophora	105	IPR035076	8..66
A0A1I8AG51	unreviewed	Snake toxin/toxin-like domain-containing protein	37863	Steinernema glaseri	316	IPR035076	200..254
A0A1I9G1L8	unreviewed	Snake toxin/toxin-like domain-containing protein	6279	Brugia malayi	156	IPR035076	57..117
A0A1J0CQH1	unreviewed	Snake toxin/toxin-like domain-containing protein	35670	Naja naja	86	IPR035076	36..85
A0A1L8G092	unreviewed	Snake toxin/toxin-like domain-containing protein	8355	Xenopus laevis	132	IPR035076	22..92
A0A1L8G093	unreviewed	UPAR/Ly6 domain-containing protein	8355	Xenopus laevis	130	IPR035076	22..98
A0A1L8G0B0	unreviewed	ly6/PLAUR domain-containing protein 2	8355	Xenopus laevis	120	IPR035076	22..92
A0A1L8G0B7	unreviewed	UPAR/Ly6 domain-containing protein	8355	Xenopus laevis	122	IPR035076	21..92
A0A1S3AHP4	unreviewed	Snake toxin/toxin-like domain-containing protein	9365	Erinaceus europaeus	116	IPR035076	22..92
A0A1S3AI47	unreviewed	UPAR/Ly6 domain-containing protein	9365	Erinaceus europaeus	128	IPR035076	28..101
A0A1S3AIA8	unreviewed	Snake toxin/toxin-like domain-containing protein	9365	Erinaceus europaeus	123	IPR035076	21..100
A0A1S3FVK8	unreviewed	UPAR/Ly6 domain-containing protein	10020	Dipodomys ordii	121	IPR035076	22..90
A0A1S3FVP1	unreviewed	UPAR/Ly6 domain-containing protein	10020	Dipodomys ordii	129	IPR035076	29..106
A0A1S3FW38	unreviewed	UPAR/Ly6 domain-containing protein	10020	Dipodomys ordii	125	IPR035076	24..100
A0A1S3GUZ6	unreviewed	UPAR/Ly6 domain-containing protein	10020	Dipodomys ordii	116	IPR035076	21..92
A0A1S8WJI0	unreviewed	Snake toxin/toxin-like domain-containing protein	6198	Opisthorchis viverrini	69	IPR035076	12..45
A0A1U7QU12	unreviewed	UPAR/Ly6 domain-containing protein	10036	Mesocricetus auratus	111	IPR035076	21..88
A0A1U7R1G5	unreviewed	UPAR/Ly6 domain-containing protein	10036	Mesocricetus auratus	127	IPR035076	24..100
A0A1U7S4M8	unreviewed	UPAR/Ly6 domain-containing protein	38654	Alligator sinensis	126	IPR035076	22..96
A0A1U7S8L3	unreviewed	UPAR/Ly6 domain-containing protein	38654	Alligator sinensis	127	IPR035076	22..97
A0A1U7SFY4	unreviewed	UPAR/Ly6 domain-containing protein	38654	Alligator sinensis	128	IPR035076	21..98
A0A1U7SIJ4	unreviewed	Snake toxin/toxin-like domain-containing protein	38654	Alligator sinensis	125	IPR035076	22..94
A0A1U7SIJ8	unreviewed	UPAR/Ly6 domain-containing protein	38654	Alligator sinensis	126	IPR035076	22..96
A0A1U7TWY9	unreviewed	Snake toxin/toxin-like domain-containing protein	1868482	Carlito syrichta	142	IPR035076	21..87
A0A1U7U708	unreviewed	UPAR/Ly6 domain-containing protein	1868482	Carlito syrichta	123	IPR035076	21..98
A0A1U7UF73	unreviewed	UPAR/Ly6 domain-containing protein	1868482	Carlito syrichta	116	IPR035076	21..92
A0A1U7V3D8	unreviewed	Snake toxin/toxin-like domain-containing protein	1868482	Carlito syrichta	77	IPR035076	8..46
A0A1U8CL48	unreviewed	UPAR/Ly6 domain-containing protein	10036	Mesocricetus auratus	116	IPR035076	21..92
A0A1V4JVP8	unreviewed	UPAR/Ly6 domain-containing protein	372326	Patagioenas fasciata monilis	126	IPR035076	22..96
A0A1V4JVP9	unreviewed	UPAR/Ly6 domain-containing protein	372326	Patagioenas fasciata monilis	124	IPR035076	26..94
A0A1V4JVT0	unreviewed	UPAR/Ly6 domain-containing protein	372326	Patagioenas fasciata monilis	126	IPR035076	23..96
A0A212CE64	unreviewed	UPAR/Ly6 domain-containing protein	46360	Cervus elaphus hippelaphus	116	IPR035076	21..92
A0A212CE77	unreviewed	UPAR/Ly6 domain-containing protein	46360	Cervus elaphus hippelaphus	128	IPR035076	25..100
A0A218UGE7	unreviewed	UPAR/Ly6 domain-containing protein	299123	Lonchura striata domestica	126	IPR035076	22..96
A0A218UH18	unreviewed	Snake toxin/toxin-like domain-containing protein	299123	Lonchura striata domestica	87	IPR035076	17..57
A0A226N036	unreviewed	UPAR/Ly6 domain-containing protein	9009	Callipepla squamata	91	IPR035076	4..79
A0A226N067	unreviewed	Snake toxin/toxin-like domain-containing protein	9009	Callipepla squamata	86	IPR035076	17..56
A0A226PDW5	unreviewed	UPAR/Ly6 domain-containing protein	9014	Colinus virginianus	156	IPR035076	86..126
A0A226PDY6	unreviewed	UPAR/Ly6 domain-containing protein	9014	Colinus virginianus	124	IPR035076	22..95
A0A226PEZ2	unreviewed	UPAR/Ly6 domain-containing protein	9014	Colinus virginianus	95	IPR035076	8..83
A0A226PFN2	unreviewed	UPAR/Ly6 domain-containing protein	9014	Colinus virginianus	126	IPR035076	22..96
A0A250Y9E0	unreviewed	UPAR/Ly6 domain-containing protein	51338	Castor canadensis	116	IPR035076	21..92
A0A260Z2M6	unreviewed	Snake toxin/toxin-like domain-containing protein	31234	Caenorhabditis remanei	289	IPR035076	200..257
A0A260ZK47	unreviewed	Snake toxin/toxin-like domain-containing protein	31234	Caenorhabditis remanei	206	IPR035076	87..144
A0A261AWN1	unreviewed	Snake toxin/toxin-like domain-containing protein	1503980	Caenorhabditis latens	176	IPR035076	57..114
A0A261C8U5	unreviewed	Snake toxin/toxin-like domain-containing protein	1503980	Caenorhabditis latens	156	IPR035076	67..124
A0A286XLH9	unreviewed	UPAR/Ly6 domain-containing protein	10141	Cavia porcellus	116	IPR035076	21..92
A0A287B109	unreviewed	UPAR/Ly6 domain-containing protein	9823	Sus scrofa	116	IPR035076	21..92
A0A287BAC4	unreviewed	UPAR/Ly6 domain-containing protein	9823	Sus scrofa	127	IPR035076	27..100
A0A287CXF4	unreviewed	UPAR/Ly6 domain-containing protein	43179	Ictidomys tridecemlineatus	107	IPR035076	17..84
A0A2A2K175	unreviewed	Snake toxin/toxin-like domain-containing protein	2018661	Diploscapter pachys	162	IPR035076	70..127
A0A2A2KQL9	unreviewed	Snake toxin/toxin-like domain-containing protein	2018661	Diploscapter pachys	176	IPR035076	55..114
A0A2A2LPJ7	unreviewed	Snake toxin/toxin-like domain-containing protein	2018661	Diploscapter pachys	107	IPR035076	55..97
A0A2A2LWG0	unreviewed	Snake toxin/toxin-like domain-containing protein	2018661	Diploscapter pachys	116	IPR035076	24..81
A0A2A6BPG2	unreviewed	Snake toxin/toxin-like domain-containing protein	54126	Pristionchus pacificus	155	IPR035076	58..116
A0A2A6BX33	unreviewed	Snake toxin/toxin-like domain-containing protein	54126	Pristionchus pacificus	158	IPR035076	69..125
A0A2D4H8R7	unreviewed	Snake toxin/toxin-like domain-containing protein	129467	Micrurus lemniscatus lemniscatus	101	IPR035076	42..98
A0A2D4H8V3	unreviewed	Snake toxin/toxin-like domain-containing protein	129467	Micrurus lemniscatus lemniscatus	101	IPR035076	42..98
A0A2D4HVB6	unreviewed	UPAR/Ly6 domain-containing protein	129467	Micrurus lemniscatus lemniscatus	147	IPR035076	43..117
A0A2D4JEH0	unreviewed	UPAR/Ly6 domain-containing protein	129467	Micrurus lemniscatus lemniscatus	140	IPR035076	52..128
A0A2D4M764	unreviewed	UPAR/Ly6 domain-containing protein	129469	Micrurus spixii	107	IPR035076	31..107
A0A2D4MS59	unreviewed	Snake toxin/toxin-like domain-containing protein	129469	Micrurus spixii	102	IPR035076	51..101
A0A2D4P2Z1	unreviewed	Snake toxin/toxin-like domain-containing protein	129470	Micrurus surinamensis	101	IPR035076	42..98
A0A2F0BC50	unreviewed	Snake toxin/toxin-like domain-containing protein	9764	Eschrichtius robustus	70	IPR035076	6..39
A0A2F0BLK3	unreviewed	UPAR/Ly6 domain-containing protein	9764	Eschrichtius robustus	114	IPR035076	21..92
A0A2G5UGY6	unreviewed	Snake toxin/toxin-like domain-containing protein	1611254	Caenorhabditis nigoni	142	IPR035076	26..83
A0A2G5VKH8	unreviewed	Snake toxin/toxin-like domain-containing protein	1611254	Caenorhabditis nigoni	158	IPR035076	70..127
A0A2G9RB63	unreviewed	UPAR/Ly6 domain-containing protein	8400	Lithobates catesbeianus	127	IPR035076	21..97
A0A2G9U5I6	unreviewed	Snake toxin/toxin-like domain-containing protein	45464	Teladorsagia circumcincta	165	IPR035076	88..139
